Segregate,90
Isolate,90
Differentiate,90
Separate,90
Detach,90
Partition [Vb.],90
Alieanate,90
Integrate,105
Divide,90
Split,90
Distrain,92
Confiscate,92
Release,-92
Sequester,90
Sequestrate,92
Seize,92
Impound,92
Estrange,90
Amalgamate,105
Include,105
Exclude,-105
Contain,91
Include,91
Consist,91
Add,105
Append,
Dissociate,-106
Associate,106
Incorporate,105
Disseize,-92
Combine,105
Merge,-90
Assimilate,-90
Meld ,93
Blend,93
Mix,93
Attach,-90
Join,105
Mingle,93
Fuse,93
Separate,-93
Conceal,94
Hide,94
Shroud,94
Obscure [Vb.],94
Reveal,-94
Disclose,-94
Expose,-94
Divulge,-94
Unveil,-94
Enormous,95
Colossal,95
Large,95
Minuscule,-95
Tiny,-95
Little,-95
Substantial,96
Significant,96
Monumental,95
Whopping,95
Trifling,-96
Diminutive,-95
Trivial,-96
Crucial,96
Seminal,97
Important,96
Influential,97
Pioneering,97
Groundbreaking,97
Seminal,96
Regressive,97
Retrogressive,-97
Progressive,-97
Evil,98
Wicked,98
Crooked,98
Sinister,98
Hideous,
Ugly,
Heinous,100
Abominable,100
Atrocious,100
Disgraceful,100
Reprehensible,100
Deplorable,100
Despicable,100
Nefarious,98
Flagitious,98
Iniquitous,100
Repugnant,99
Odious,99
Pleasing,-99
Repulsive,99
Vile,99
Foul,99
Detestable,100
Abhorrent,100
Fiendish,98
Vicious,98
Facinorous,98
Gruesome,100
Gruesome,101
Horrible,101
Awful,101
Awful,99
Intimidating,102
Daunting,102
Formidable,102
Menace (person) ,103
Threat,103
Danger,103
Peril,103
Hazard,103
Alarm,103
Rejoice,104
Delight [Vb.],
Relish,
Great enjoyment,
Savour (taste) ,
Enjoy,104
Diabolical,99
Diabolical,98
Jeopardy,103
Merriment,104
Remove,-105
Discard,-105
Dispose,
Congregate(people) ,-90
Gather,-90
Collect,-90
Amass,-90
Muster,-90
Convene(appearing from different places) ,-90
Assemble,-90
Premonition,
Foreboding,
Presentiment,
Inebriated,
Intoxicated,
Reckless,
Involve,
Hurdle,
Mishap,
Leverage,
Serendipity,
Leverage,